frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
416,13.867,726.36,407.28,0.44,-2.787,2.821
417,13.9,727.26,408.82,-0.006,-0.013,0.014
418,13.933,726.43,406.09,-1.167,0.482,1.262
419,13.967,726.83,406.25,-2.371,0.366,2.399
420,14.0,726.86,406.83,-3.565,-1.048,3.715
421,14.033,726.93,407.15,-4.404,-3.595,5.685
422,14.067,726.92,406.74,-4.861,-6.656,8.243
423,14.1,727.14,407.81,-4.356,-8.16,9.25
424,14.133,726.11,406.15,-3.97,-9.615,10.402
425,14.167,726.05,406.59,-2.958,-9.406,9.86
426,14.2,726.16,406.7,-2.138,-8.746,9.003
427,14.233,725.85,405.53,-1.092,-7.58,7.659
428,14.267,725.62,405.38,0.174,-4.79,4.794
429,14.3,725.22,405.27,0.649,-1.765,1.881
430,14.333,724.88,404.14,1.034,2.375,2.591
431,14.367,724.56,401.83,0.893,6.427,6.489
432,14.4,724.31,401.29,0.089,9.97,9.97
433,14.433,724.84,403.3,-1.747,12.127,12.252
434,14.467,725.38,404.67,-3.634,15.391,15.814
435,14.5,725.92,406.2,-6.333,18.214,19.284
436,14.533,726.79,408.18,-9.557,21.302,23.348
437,14.567,727.39,409.99,-12.903,23.514,26.821
438,14.6,726.12,408.98,-16.392,25.574,30.377
439,14.633,726.01,412.42,-20.132,26.195,33.037
440,14.667,723.76,411.08,-23.477,27.694,36.306
441,14.7,722.7,412.21,-26.545,28.342,38.831
442,14.733,721.55,413.51,-30.204,28.841,41.763
443,14.767,719.77,413.56,-33.623,29.948,45.027
444,14.8,718.48,414.99,-37.205,32.004,49.077
445,14.833,716.4,413.17,-39.958,32.978,51.809
446,14.867,715.4,415.35,-41.843,35.676,54.987
447,14.9,714.52,416.22,-42.389,37.767,56.773
448,14.933,713.44,418.06,-41.962,39.91,57.91
449,14.967,712.05,419.22,-41.159,40.722,57.9
450,15.0,711.33,421.58,-39.512,41.257,57.125
451,15.033,710.58,421.68,-37.388,41.213,55.645
452,15.067,709.01,424.03,-36.543,39.288,53.656
453,15.1,707.46,425.74,-36.843,36.179,51.637
454,15.133,705.76,428.73,-37.869,33.557,50.598
455,15.167,704.04,429.62,-40.008,29.951,49.977
456,15.2,701.71,432.2,-41.032,26.565,48.881
