scorer,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210
bodyparts,nose,nose,nose,head,head,head,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,body_center,body_center,body_center,left_forepaw,left_forepaw,left_forepaw,right_forepaw,right_forepaw,right_forepaw,left_hindpaw,left_hindpaw,left_hindpaw,right_hindpaw,right_hindpaw,right_hindpaw,tail_base,tail_base,tail_base
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
19,541.2047866,347.4204347,0.5862155,545.7952169,349.7075239,0.7291204,540.9548937,354.0248255,0.6779837,553.9299450,347.7321090,0.7539219,571.4988518,380.2004902,1.0000000,539.4137885,372.3948568,0.6215785,562.4013839,353.4691666,0.6554022,572.9168246,406.3555148,0.8122047,596.1795916,375.2589888,0.7339184,606.5640658,410.9143853,0.9999283
20,543.2283568,345.0251193,0.6438798,546.5385349,348.0967482,0.7562014,541.6306296,352.1980088,0.7451539,554.8848391,346.7908314,0.7426111,571.1950639,379.7579499,1.0000000,539.7796814,372.2061076,0.6230445,563.9041604,354.0723150,0.6625635,570.0756966,406.1379284,0.8077261,596.1907262,375.3299059,0.7536784,605.2791987,410.5366618,0.9966751
21,544.8100283,346.4268242,0.5122929,549.7357993,347.6087663,0.6308731,544.6075374,351.9541145,0.6262192,557.0004129,345.8081576,0.6807214,571.1309455,379.1548515,0.9999026,542.9539668,369.3946206,0.5084324,565.7208694,352.4297159,0.6089585,566.0435700,405.1959172,0.6989525,597.2701173,374.6335950,0.7899558,604.9175586,413.3349696,0.9609794
22,547.8719081,342.1936617,0.5235513,552.1039072,345.5018913,0.5994940,547.0063566,349.3331402,0.5873871,559.4571866,344.3932231,0.6047121,571.0191132,378.4087370,0.9961527,543.2641234,366.5679405,0.4649867,566.7804819,352.4126163,0.6104572,565.2397362,402.9628773,0.7941160,595.6422894,372.7051690,0.7785238,602.6307214,414.1786710,0.8836887
23,549.7794027,338.7319812,0.6719836,554.2203466,342.0145226,0.7593233,548.7160719,345.7752081,0.7419663,562.2475292,341.7971349,0.7477262,570.6569021,377.5121272,0.9650006,543.6233795,363.6285844,0.5585911,569.3695354,351.3464810,0.7374166,565.8154815,402.5491773,0.8472057,596.6491717,371.6418132,0.7329673,601.2819448,415.4251929,0.9080684
24,550.1217004,337.2319543,0.7039382,555.5765674,340.2956918,0.8333588,549.4830492,343.9151472,0.8119559,563.4389398,340.1300337,0.8252605,570.4731505,376.5783507,0.9501849,544.0680186,361.3904285,0.6262238,570.7713351,350.4772277,0.7764026,565.2942886,403.3529022,0.8657313,597.2598884,371.0134870,0.7186495,600.6123799,416.4992058,0.8531196
25,552.0931956,337.4306685,0.6826096,557.4459250,341.1381383,0.7890987,550.5261951,343.2411876,0.7375463,563.9342912,339.8500651,0.8395198,570.2906242,375.6781674,0.9871136,545.0410558,359.4123268,0.6092335,571.1612319,348.7516379,0.7663937,564.6310502,403.3416907,0.8884908,597.3347810,371.3791596,0.7152502,598.5321136,416.6985190,0.9060340
26,556.9081599,332.7951663,0.8844656,559.3805450,338.4263096,0.8839264,552.7192220,341.4390243,0.8887097,567.1248387,338.5568321,0.8828926,570.9915296,375.0412730,0.9778322,547.1534924,358.7184961,0.7060674,573.9670458,349.4836883,0.8443853,564.1888923,401.2916445,0.9245305,598.2361829,370.8726739,0.7319652,598.3083070,416.2473215,0.9211571
27,558.5520486,330.0973390,0.9567284,560.8173486,336.3745543,0.8723779,554.7154206,339.9771387,0.9010313,568.6356130,337.3179433,0.8714046,571.7048976,374.2427122,0.9947839,548.7624418,356.0798438,0.7361436,575.1675027,347.7126751,0.8330224,563.0396212,399.9609045,0.9189893,599.1554139,372.0917901,0.7001988,598.5754274,415.7376363,0.9481823
28,560.2511403,326.6054072,0.9527079,562.8380633,333.8858941,0.8941698,556.1020395,337.7316415,0.9329022,570.4584225,335.5337426,0.8754635,572.3513407,373.5350961,0.9998179,550.3249363,353.2738793,0.8180857,576.7722907,346.6584405,0.8426668,561.5434272,396.3279342,0.8821048,598.6963964,373.7313050,0.7435630,598.0147401,415.0618322,0.9681669
