scorer,MATLAB_TMaze_v1,MATLAB_TMaze_v1,MATLAB_TMaze_v1
bodyparts,body_center,body_center,body_center
coords,x,y,likelihood
133,581.297071,624.970711,1.000000
134,581.998818,623.619779,1.000000
135,581.078306,624.227801,1.000000
136,582.449532,620.452653,1.000000
137,582.499662,619.190541,1.000000
138,582.192140,619.159557,1.000000
139,579.650323,625.831801,1.000000
140,580.895707,620.119555,1.000000
141,580.104139,624.870237,1.000000
142,580.719533,625.773623,1.000000
143,581.176741,626.564389,1.000000
144,581.090880,627.779656,1.000000
145,581.450665,628.112898,1.000000
146,581.433333,628.549249,1.000000
147,581.487126,630.081737,1.000000
148,581.303257,630.141619,1.000000
149,581.380066,630.420594,1.000000
150,581.651832,630.200727,1.000000
151,581.959578,628.358371,1.000000
152,581.609455,627.590184,1.000000
153,580.822163,627.989574,1.000000
154,580.419141,628.836841,1.000000
155,580.724958,627.456140,1.000000
156,580.375035,627.777966,1.000000
157,580.809138,624.665315,1.000000
158,580.478934,626.393857,1.000000
159,580.404663,625.930613,1.000000
160,580.094903,625.598705,1.000000
161,580.036216,625.659461,1.000000
162,580.382509,626.043029,1.000000
163,580.765847,627.272404,1.000000
164,580.994192,626.569430,1.000000
165,581.123584,626.661397,1.000000
166,580.895455,626.762567,1.000000
167,580.908824,627.217809,1.000000
168,580.971296,624.201707,1.000000
169,579.814746,625.546447,1.000000
170,580.169108,626.485993,1.000000
171,579.751469,625.211750,1.000000
172,580.019338,626.267430,1.000000
173,579.813984,629.832718,1.000000
174,579.998460,628.743326,1.000000
175,579.706786,628.414341,1.000000
176,579.746906,627.721394,1.000000
177,579.720889,627.830950,1.000000
178,579.285787,627.897096,1.000000
179,578.736493,627.962029,1.000000
180,578.921176,627.838152,1.000000
181,578.460020,629.574284,1.000000
182,578.454434,628.788175,1.000000
183,578.476675,630.020347,1.000000
184,578.188802,630.599046,1.000000
185,578.726751,630.688856,1.000000
186,578.978167,630.264534,1.000000
187,578.836266,630.759755,1.000000
188,579.965429,632.425096,1.000000
189,579.488861,633.665823,1.000000
190,579.026471,638.415831,1.000000
191,578.355835,641.285976,1.000000
192,577.312343,637.516558,1.000000
193,576.843511,639.710433,1.000000
194,576.470850,642.745621,1.000000
195,576.450441,645.041256,1.000000
196,576.089380,646.190326,1.000000
197,576.613260,648.970718,1.000000
